Id	pred	truth	pred_seq	truth_seq	kendall	type	origin	sft1600	ver4	dpo_traj_200_400_800_1000	audited73	caption
qkSjok	[4, 3, 2, 1]	[4, 3, 1, 2]	4321	3421	1	adjacent-swap@1-2	dpo-introduced(sft-was-right)	[4, 3, 1, 2]	[4, 3, 2, 1]	====	Y	The cat's paw approaches the clippers with a slight camera zoom, transitioning to a kitchen scene where a person cuts green onions before speaking in a medium shot.
2Dhhti	[4, 1, 2, 3]	[3, 1, 2, 4]	2341	2314	1	adjacent-swap@3-4	inherited-same	[4, 1, 2, 3]	[4, 1, 2, 3]	====	Y	The dog sprints across the field with a frisbee, as the camera pans, then stands in the bath, moving towards the water spray and turning its head to the faucet.
0AezL1	[3, 2, 1, 4]	[2, 3, 1, 4]	3214	3124	1	adjacent-swap@2-3	dpo-introduced(sft-was-right)	[2, 3, 1, 4]	[2, 3, 1, 4]	=X==	N	The athlete transitions from mid-air near the pole to sitting on the mat, as the height marker changes from 4.41 to 4.70 metres; then, the camera pans to another athlete celebrating with raised arms after a successful jump.
lmOtxf	[2, 3, 1, 4]	[4, 2, 3, 1]	3124	4231	5	scramble(d=5)	inherited-same	[2, 3, 1, 4]	[2, 3, 1, 4]	====	Y	 The man and child ride down a river over waterfall.
aTrFXQ	[4, 2, 1, 3]	[4, 3, 2, 1]	3241	4321	2	one-moved(d=2)	inherited-same	[4, 2, 1, 3]	[4, 2, 1, 3]	====	Y	  The man tries to open his trunk again, this time the opening is easier and the man climbs into the trunk of the car to the front of the car to open the drivers door from the inside drivers seat.
UwdDWd	[4, 2, 3, 1]	[3, 1, 2, 4]	4231	2314	3	one-moved(d=3)	dpo-introduced(sft-was-right)	[3, 1, 2, 4]	[3, 1, 2, 4]	====	N	 She puts it in a glass pan and puts the pan in the oven.
a90lEu	[3, 1, 2, 4]	[4, 1, 3, 2]	2314	2431	2	one-moved(d=2)	both-wrong-diff	[4, 1, 2, 3]	[4, 1, 2, 3]	==oo	Y	 Then she lightly twists the braiding hair and uses as many bobby pins as she needs.
uQE4mF	[4, 2, 1, 3]	[3, 2, 1, 4]	3241	3214	1	adjacent-swap@3-4	inherited-same	[4, 2, 1, 3]	[4, 2, 1, 3]	====	Y	 A woman is helping the boy down a slide and the same person in the red vest catches them.
S0cFZA	[4, 3, 1, 2]	[1, 4, 2, 3]	3421	1342	3	one-moved(d=3)	dpo-introduced(sft-was-right)	[1, 4, 2, 3]	[1, 4, 2, 3]	=X==	N	 A woman puts a baby in the swimming pool, and the baby swims fast to reach the border of the swimming pool.
bhC2Jx	[1, 2, 4, 3]	[1, 2, 3, 4]	1243	1234	1	adjacent-swap@3-4	inherited-same	[1, 2, 4, 3]	[1, 2, 4, 3]	====	Y	The bartender begins to prepare a drink, then garnishes it with a lemon slice, and finally presents the finished cocktail to the camera.
At6xwk	[4, 2, 3, 1]	[4, 3, 2, 1]	4231	4321	1	adjacent-swap@2-3	inherited-same	[4, 2, 3, 1]	[4, 2, 3, 1]	====	Y	 Wearing gloves, he applies a stain to the table.
lPGKJD	[2, 1, 4, 3]	[3, 1, 2, 4]	2143	2314	2	one-moved(d=2)	inherited-same	[2, 1, 4, 3]	[2, 1, 4, 3]	====	Y	 She throws a javelin onto the field.
YZuSuG	[1, 3, 4, 2]	[2, 4, 3, 1]	1423	4132	2	scramble(d=2)	both-wrong-diff	[2, 3, 4, 1]	[1, 3, 4, 2]	====	Y	 We see the person carve a drawing on a pumpkin.
jgGdOF	[4, 3, 1, 2]	[4, 3, 2, 1]	3421	4321	1	adjacent-swap@1-2	inherited-same	[4, 3, 1, 2]	[4, 3, 1, 2]	====	Y	The wooden furniture moves along the track towards the platform, while the yellow tool lowers onto the ski and is pressed down as the camera zooms in slightly.
P1zBxy	[2, 4, 1, 3]	[2, 3, 1, 4]	3142	3124	1	adjacent-swap@3-4	inherited-same	[2, 4, 1, 3]	[2, 4, 1, 3]	====	Y	The hands begin to smooth the wrapping paper, then fold the edges inward, followed by tying a ribbon around the gift, and finally tightening the bow.
6fko8F	[1, 3, 4, 2]	[1, 2, 3, 4]	1423	1234	2	one-moved(d=2)	both-wrong-diff	[3, 2, 4, 1]	[3, 2, 4, 1]	====	Y	The player leans over the table to take a shot, then shifts to an overhead view as he prepares to strike. Finally, he stands and gestures while another player lines up their shot.
uyWtdf	[4, 1, 2, 3]	[1, 2, 4, 3]	2341	1243	4	scramble(d=4)	inherited-same	[4, 1, 2, 3]	[4, 1, 2, 3]	====	Y	The woman lowers her gaze to apply a yellow contact lens, then the girl moves her hand away from her eye as her head turns slightly left.
KJZBsJ	[2, 1, 3, 4]	[2, 1, 4, 3]	2134	2143	1	adjacent-swap@3-4	inherited-same	[2, 1, 3, 4]	[2, 1, 3, 4]	====	Y	The sailboat moves left, splashing water as another boat enters from the right; meanwhile, a skier recedes from a boat, moving further away, while the camera pans slightly right, capturing spectators watching and photographing the scene.
hHJkXc	[4, 2, 1, 3]	[3, 2, 1, 4]	3241	3214	1	adjacent-swap@3-4	inherited-same	[4, 2, 1, 3]	[4, 2, 1, 3]	====	Y	The gymnast in red rotates counter-clockwise on the beam, raising her arms higher, then another gymnast in pink moves slightly forward on the beam, maintaining her raised arm position, as the camera remains steady throughout.
