Id,Answer
8HQUl8,"[1, 4, 2, 3]"
Imn9yG,"[4, 1, 3, 2]"
yvDfXh,"[2, 1, 3, 4]"
LtR74Q,"[1, 4, 3, 2]"
79TdaG,"[1, 2, 4, 3]"
6fko8F,"[1, 2, 3, 4]"
yRN9JF,"[2, 1, 3, 4]"
kb6PX7,"[2, 3, 4, 1]"
uyWtdf,"[4, 2, 1, 3]"
72JETK,"[4, 2, 3, 1]"
KJZBsJ,"[1, 2, 3, 4]"
56gtZd,"[2, 1, 3, 4]"
cieCUR,"[1, 3, 2, 4]"
XN8XTY,"[1, 3, 2, 4]"
ZAc3al,"[1, 3, 2, 4]"
o0kimD,"[2, 1, 3, 4]"
1ywjl3,"[3, 2, 4, 1]"
YSPJJW,"[4, 3, 1, 2]"
pJETr3,"[3, 4, 1, 2]"
yqWbVb,"[1, 3, 2, 4]"
68VVFd,"[2, 4, 3, 1]"
bvzEsD,"[1, 2, 3, 4]"
rBuAQi,"[4, 3, 2, 1]"
pR1lov,"[2, 3, 1, 4]"
gv6DET,"[3, 2, 4, 1]"
yx3vew,"[1, 2, 3, 4]"
